Quantify Compound Summary Report 

Printed Wed Jan 29 15:23:46 2025

Compound 1:  MITRAGYNINE

	#	Name	Type	Vial	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	%Dev	Subject Text	S/N	Summary Flag Reason
18	18	08122019_Mitragynine_Oral_13point5_LQC2	QC	2:B,2	3.000	2.49	15795	158846	0.099	0.994	2.74	-8.6		246356.000	
19	19	08122019_Mitragynine_Oral_13point5_MQC2	QC	2:B,3	90.000	2.48	453606	151639	2.991	29.914	89.81	-0.2		7092614.000	
20	20	08122019_Mitragynine_Oral_13point5_HQC2	QC	2:B,4	180.000	2.48	751797	150644	4.991	49.906	150.00	-16.7		11663460.000	
21	21	08122019_Mitragynine_Oral_13point5_LLOQ3	QC	2:B,5	1.000	2.49	6148	143846	0.043	0.427	1.04	3.6		17017.693	
22	22	08122019_Mitragynine_Oral_13point5_LQC3	QC	2:B,6	3.000	2.48	15948	146753	0.109	1.087	3.02	0.7		245185.000	
23	23	08122019_Mitragynine_Oral_13point5_MQC3	QC	2:B,7	90.000	2.49	463606	146919	3.156	31.555	94.75	5.3		7196091.000	
24	24	08122019_Mitragynine_Oral_13point5_HQC3	QC	2:B,8	180.000	2.49	955085	144225	6.622	66.222	199.12	10.6		14790534.000	
25	25	08122019_Mitragynine_Oral_13point5_LLOQ4	QC	2:B,9	1.000	2.49	5807	142853	0.041	0.407	0.97	-2.7		12394.856	
26	26	08122019_Mitragynine_Oral_13point5_LQC4	QC	2:B,10	3.000	2.49	14870	145714	0.102	1.020	2.82	-5.9		230964.000	
27	27	08122019_Mitragynine_Oral_13point5_MQC4	QC	2:B,11	90.000	2.49	433133	141583	3.059	30.592	91.85	2.1		6734019.000	
28	28	08122019_Mitragynine_Oral_13point5_HQC4	QC	2:B,12	180.000	2.49	901680	144091	6.258	62.577	188.15	4.5		2599396.856	
29	29	08122019_Mitragynine_Oral_13point5_LLOQ4a	QC	2:C,1	1.000	2.49	6917	159158	0.043	0.435	1.06	5.8		34267.444	
30	30	08122019_Mitragynine_Oral_13point5_LQC4a	QC	2:C,2	3.000	2.49	16567	150537	0.110	1.101	3.06	2.1		255926.000	
31	31	08122019_Mitragynine_Oral_13point5_MQC4a	QC	2:C,3	90.000	2.49	377608	148526	2.542	25.424	76.29	-15.2		602058.922	
32	32	08122019_Mitragynine_Oral_13point5_HQC4a	QC	2:C,4	180.000	2.49	976453	148441	6.578	65.781	197.80	9.9		1968322.264	
33	33	08122019_Mitragynine_Oral_13point5_LLOQ5	QC	2:C,5	1.000	2.49	6247	147325	0.042	0.424	1.03	2.6		95618.000	
34	34	08122019_Mitragynine_Oral_13point5_LQC5	QC	2:C,6	3.000	2.49	13001	147976	0.088	0.879	2.39	-20.2		200343.000	
35	35	08122019_Mitragynine_Oral_13point5_MQC5	QC	2:C,7	90.000	2.49	382465	145903	2.621	26.214	78.67	-12.6		5899382.000	
36	36	08122019_Mitragynine_Oral_13point5_HQC5	QC	2:C,8	180.000	2.49	606266	149354	4.059	40.593	121.96	-32.2		9293564.000	
37	37	08122019_Mitragynine_Oral_13point5_LLOQ6	QC	2:C,9	1.000	2.49	6110	148063	0.041	0.413	0.99	-0.8		23368.833	
38	38	08122019_Mitragynine_Oral_13point5_LQC6	QC	2:C,10	3.000	2.49	16138	146511	0.110	1.102	3.07	2.2		248877.000	
39	39	08122019_Mitragynine_Oral_13point5_MQC6	QC	2:C,11	90.000	2.49	465138	145251	3.202	32.023	96.16	6.8		7249317.000	
40	40	08122019_Mitragynine_Oral_13point5_HQC6	QC	2:C,12	180.000	2.49	1003557	155349	6.460	64.600	194.24	7.9		15871749.000	
41	41	08122019_Mitragynine_Oral_13point5_R8647_PreDose	Analyte	2:D,1		2.49	167	164488	0.001	0.010				1547.000	
42	42	08122019_Mitragynine_Oral_13point5_R8647_5Min_5X	Analyte	2:D,2		2.48	3921	156093	0.025	0.251	0.51			60430.000	
43	43	08122019_Mitragynine_Oral_13point5_R8647_10Min_5X	Analyte	2:D,3		2.48	17026	148831	0.114	1.144	3.19			39756.126	
44	44	08122019_Mitragynine_Oral_13point5_R8647_15Min_5X	Analyte	2:D,4		2.48	45945	148131	0.310	3.102	9.09			724407.000	
45	45	08122019_Mitragynine_Oral_13point5_R8647_30Min_5X	Analyte	2:D,5		2.48	88570	148312	0.597	5.972	17.73			1395816.000	
46	46	08122019_Mitragynine_Oral_13point5_R8647_45Min_5X	Analyte	2:D,6		2.48	93978	151529	0.620	6.202	18.42			1476782.000	
47	47	08122019_Mitragynine_Oral_13point5_R8647_60Min_5X	Analyte	2:D,7		2.48	103511	150203	0.689	6.891	20.50			1628149.000	
48	48	08122019_Mitragynine_Oral_13point5_R8647_2hr_5X	Analyte	2:D,8		2.48	135670	148873	0.911	9.113	27.19			157261.259	
49	49	08122019_Mitragynine_Oral_13point5_R8647_4hr_5X	Analyte	2:D,9		2.48	102568	147581	0.695	6.950	20.67			1609010.000	
50	50	08122019_Mitragynine_Oral_13point5_R8647_6hr	Analyte	2:D,10		2.48	336448	148183	2.270	22.705	68.11			305592.833	
51	51	08122019_Mitragynine_Oral_13point5_R8647_8hr	Analyte	2:D,11		2.48	239852	147632	1.625	16.247	48.66			3767889.000	
52	52	08122019_Mitragynine_Oral_13point5_R8647_12hr	Analyte	2:D,12		2.48	118860	153795	0.773	7.728	23.02			1895597.000	
53	53	08122019_Mitragynine_Oral_13point5_R8647_24hr	Analyte	2:E,1		2.49	39465	166605	0.237	2.369	6.88			175662.363	
54	54	08122019_Mitragynine_Oral_13point5_R8648_PreDose	Analyte	2:E,2		2.48	171	156588	0.001	0.011				1201.000	
55	55	08122019_Mitragynine_Oral_13point5_R8648_5Min_5X	Analyte	2:E,3		2.48	82029	152640	0.537	5.374	15.93			1285035.000	
56	56	08122019_Mitragynine_Oral_13point5_R8648_10Min_5X	Analyte	2:E,4		2.48	83301	153996	0.541	5.409	16.04			1297605.000	
57	57	08122019_Mitragynine_Oral_13point5_R8648_15Min_5X	Analyte	2:E,5		2.48	110295	149944	0.736	7.356	21.90			1714415.000	
58	58	08122019_Mitragynine_Oral_13point5_R8648_30Min_5X	Analyte	2:E,6		2.49	120188	147695	0.814	8.138	24.25			1889716.000	
59	59	08122019_Mitragynine_Oral_13point5_R8648_45Min_5X	Analyte	2:E,7		2.49	105734	144111	0.734	7.337	21.84			1643520.000	
60	60	08122019_Mitragynine_Oral_13point5_R8648_60Min_5X	Analyte	2:E,8		2.49	94779	146306	0.648	6.478	19.25			1469234.000	
61	61	08122019_Mitragynine_Oral_13point5_R8648_2hr_5X	Analyte	2:E,9		2.49	95991	144629	0.664	6.637	19.73			1489335.000	
62	62	08122019_Mitragynine_Oral_13point5_R8648_4hr_5X	Analyte	2:E,10		2.49	38754	145645	0.266	2.661	7.76			116038.937	
63	63	08122019_Mitragynine_Oral_13point5_R8648_6hr	Analyte	2:E,11		2.49	120524	147046	0.820	8.196	24.43			1882237.000	
64	64	08122019_Mitragynine_Oral_13point5_R8648_8hr	Analyte	2:E,12		2.49	88144	154007	0.572	5.723	16.98			1395464.000	
65	65	08122019_Mitragynine_Oral_13point5_R8648_12hr	Analyte	2:F,1		2.49	62925	158821	0.396	3.962	11.68			997502.000	
66	66	08122019_Mitragynine_Oral_13point5_R8648_24hr	Analyte	2:F,2				149836							
67	67	08122019_Mitragynine_Oral_13point5_R8650_PreDose	Analyte	2:F,3		2.49	161	149957	0.001	0.011				323.287	
68	68	08122019_Mitragynine_Oral_13point5_R8650_5Min_5X	Analyte	2:F,4		2.49	59267	150407	0.394	3.940	11.61			922334.000	
69	69	08122019_Mitragynine_Oral_13point5_R8650_10Min_5X	Analyte	2:F,5		2.49	114664	146793	0.781	7.811	23.27			1786446.000	
70	70	08122019_Mitragynine_Oral_13point5_R8650_15Min_5X	Analyte	2:F,6		2.49	176255	146655	1.202	12.018	35.93			459791.647	
71	71	08122019_Mitragynine_Oral_13point5_R8650_30Min_5X	Analyte	2:F,7		2.49	261725	145008	1.805	18.049	54.09			4052746.000	
72	72	08122019_Mitragynine_Oral_13point5_R8650_45Min_5X	Analyte	2:F,8		2.49	226404	146524	1.545	15.452	46.27			3500307.000	
73	73	08122019_Mitragynine_Oral_13point5_R8650_60Min_5X	Analyte	2:F,9		2.49	189501	142466	1.330	13.301	39.80			2960341.000	
74	74	08122019_Mitragynine_Oral_13point5_R8650_2hr_5X	Analyte	2:F,10		2.49	201657	145107	1.390	13.897	41.59			3154913.000	
75	75	08122019_Mitragynine_Oral_13point5_R8650_4hr_5X	Analyte	2:F,11		2.49	146286	155036	0.944	9.436	28.16			2305277.000	
76	76	08122019_Mitragynine_Oral_13point5_R8650_6hr	Analyte	2:F,12		2.49	1037484	154110	6.732	67.321	202.43			16430022.000	
77	77	08122019_Mitragynine_Oral_13point5_R8650_8hr	Analyte	2:G,1		2.49	555711	159629	3.481	34.813	104.56			8759758.000	
78	78	08122019_Mitragynine_Oral_13point5_R8650_12hr	Analyte	2:G,2		2.49	210540	153289	1.373	13.735	41.10			3282222.000	
79	79	08122019_Mitragynine_Oral_13point5_R8650_24hr	Analyte	2:G,3		2.49	42385	149124	0.284	2.842	8.31			658946.000	
80	80	08122019_Mitragynine_Oral_13point5_R8649_PreDose	Analyte	2:G,4				146438							
81	81	08122019_Mitragynine_Oral_13point5_R8649_5Min_5X	Analyte	2:G,5		2.49	98085	150482	0.652	6.518	19.37			1528520.000	
82	82	08122019_Mitragynine_Oral_13point5_R8649_10Min_5X	Analyte	2:G,6		2.49	60706	148879	0.408	4.078	12.03			934724.000	
83	83	08122019_Mitragynine_Oral_13point5_R8649_15Min_5X	Analyte	2:G,7		2.49	55669	148247	0.376	3.755	11.06			858731.000	
84	84	08122019_Mitragynine_Oral_13point5_R8649_30Min_5X	Analyte	2:G,8		2.49	83254	148114	0.562	5.621	16.67			1290422.000	
85	85	08122019_Mitragynine_Oral_13point5_R8649_45Min_5X	Analyte	2:G,9		2.49	83632	147427	0.567	5.673	16.83			1300829.000	
86	86	08122019_Mitragynine_Oral_13point5_R8649_60Min_5X	Analyte	2:G,10		2.49	112078	148686	0.754	7.538	22.44			1736943.000	
87	87	08122019_Mitragynine_Oral_13point5_R8649_2hr_5X	Analyte	2:G,11		2.49	99002	155597	0.636	6.363	18.91			316875.449	
88	88	08122019_Mitragynine_Oral_13point5_R8649_4hr_5X	Analyte	2:G,12		2.49	57194	159214	0.359	3.592	10.56			231373.307	
89	89	08122019_Mitragynine_Oral_13point5_R8649_6hr	Analyte	2:H,1		2.49	378812	160042	2.367	23.670	71.01			1866691.400	
90	90	08122019_Mitragynine_Oral_13point5_R8649_8hr	Analyte	2:H,2		2.49	472334	158281	2.984	29.842	89.59			7414189.000	
91	91	08122019_Mitragynine_Oral_13point5_R8649_12hr	Analyte	2:H,3		2.49	154120	156005	0.988	9.879	29.49			675379.365	
92	92	08122019_Mitragynine_Oral_13point5_R8649_24hr	Analyte	2:H,4		2.49	129578	156094	0.830	8.301	24.74			2022665.000	

Compound 2:  7OH-MITRA

	#	Name	Type	Vial	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	%Dev	Subject Text	S/N	Summary Flag Reason
1	1	08122019_Mitragynine_Oral_13point5_CS0x		2:H,9		1.13	4							75.000	
1	1	08122019_Mitragynine_Oral_13point5_CS0		2:H,9		1.13	4							75.000	
2	2	08122019_Mitragynine_Oral_13point5_CS0_IS		2:H,10		1.13	12	159479	0.000	0.001	0.00			99.000	
3	3	08122019_Mitragynine_Oral_13point5_CS1	Standard	2:A,1	1.000	1.16	2105	170667	0.012	0.123	1.05	4.8		2922.209	
4	4	08122019_Mitragynine_Oral_13point5_CS2	Standard	2:A,2	2.500	1.16	4004	159251	0.025	0.251	2.14	-14.3		53549.000	
5	5	08122019_Mitragynine_Oral_13point5_CS3	Standard	2:A,3	5.000	1.16	9824	158363	0.062	0.620	5.30	6.0		129365.000	
6	6	08122019_Mitragynine_Oral_13point5_CS4	Standard	2:A,4	20.000	1.17	33779	165536	0.204	2.041	17.44	-12.8		455434.000	
7	7	08122019_Mitragynine_Oral_13point5_CS5	Standard	2:A,5	50.000	1.16	105606	158054	0.668	6.682	57.13	14.3		460505.169	
8	8	08122019_Mitragynine_Oral_13point5_CS6	Standard	2:A,6	100.000	1.16	203451	162424	1.253	12.526	107.10	7.1		2706878.000	
9	9	08122019_Mitragynine_Oral_13point5_CS7	Standard	2:A,7	150.000	1.16	244186	159296	1.533	15.329	131.07	-12.6		3263202.000	
10	10	08122019_Mitragynine_Oral_13point5_CS8	Standard	2:A,8	200.000	1.16	396761	157756	2.515	25.150	215.04	7.5		5264876.000	
11	11	08122019_Mitragynine_Oral_13point5_CS0_ISAfter		2:H,10		1.23	21	160024	0.000	0.001	0.01			179.000	
12	12	08122019_Mitragynine_Oral_13point5_CS0_After		2:H,9		1.17	16	163	0.096	0.958	8.19			242.000	
13	13	08122019_Mitragynine_Oral_13point5_LLOQ1	QC	2:A,9	1.000	1.17	1955	159104	0.012	0.123	1.04	4.4		25605.000	
14	14	08122019_Mitragynine_Oral_13point5_LQC1	QC	2:A,10	3.000	1.16	4504	160122	0.028	0.281	2.40	-20.0		60223.000	
15	15	08122019_Mitragynine_Oral_13point5_MQC1	QC	2:A,11	90.000	1.17	178751	157004	1.139	11.385	97.34	8.2		2393880.000	
16	16	08122019_Mitragynine_Oral_13point5_HQC1	QC	2:A,12	180.000	1.17	287357	162136	1.772	17.723	151.54	-15.8		3885676.000	
17	17	08122019_Mitragynine_Oral_13point5_LLOQ2	QC	2:B,1	1.000	1.16	1967	164793	0.012	0.119	1.01	1.4		26085.000	
18	18	08122019_Mitragynine_Oral_13point5_LQC2	QC	2:B,2	3.000	1.16	5476	158846	0.034	0.345	2.94	-2.0		71718.000	
19	19	08122019_Mitragynine_Oral_13point5_MQC2	QC	2:B,3	90.000	1.17	160467	151639	1.058	10.582	90.48	0.5		2085357.000	
20	20	08122019_Mitragynine_Oral_13point5_HQC2	QC	2:B,4	180.000	1.16	265965	150644	1.766	17.655	150.96	-16.1		3452692.000	
21	21	08122019_Mitragynine_Oral_13point5_LLOQ3	QC	2:B,5	1.000	1.17	1753	143846	0.012	0.122	1.04	3.6		22085.000	
22	22	08122019_Mitragynine_Oral_13point5_LQC3	QC	2:B,6	3.000	1.16	5471	146753	0.037	0.373	3.18	6.1		70905.000	
23	23	08122019_Mitragynine_Oral_13point5_MQC3	QC	2:B,7	90.000	1.16	167300	146919	1.139	11.387	97.36	8.2		1018908.971	
24	24	08122019_Mitragynine_Oral_13point5_HQC3	QC	2:B,8	180.000	1.17	339456	144225	2.354	23.537	201.24	11.8		4392971.000	
25	25	08122019_Mitragynine_Oral_13point5_LLOQ4	QC	2:B,9	1.000	1.17	1645	142853	0.012	0.115	0.98	-2.2		21523.000	
26	26	08122019_Mitragynine_Oral_13point5_LQC4	QC	2:B,10	3.000	1.17	5095	145714	0.035	0.350	2.98	-0.5		65851.000	
27	27	08122019_Mitragynine_Oral_13point5_MQC4	QC	2:B,11	90.000	1.17	156837	141583	1.108	11.077	94.71	5.2		423701.194	
28	28	08122019_Mitragynine_Oral_13point5_HQC4	QC	2:B,12	180.000	1.17	337297	144091	2.341	23.409	200.15	11.2		4415320.000	
29	29	08122019_Mitragynine_Oral_13point5_LLOQ4a	QC	2:C,1	1.000	1.17	1990	159158	0.013	0.125	1.06	6.3		18472.721	
30	30	08122019_Mitragynine_Oral_13point5_LQC4a	QC	2:C,2	3.000	1.17	5889	150537	0.039	0.391	3.34	11.3		20666.890	
31	31	08122019_Mitragynine_Oral_13point5_MQC4a	QC	2:C,3	90.000	1.17	132728	148526	0.894	8.936	76.41	-15.1		1679616.000	
32	32	08122019_Mitragynine_Oral_13point5_HQC4a	QC	2:C,4	180.000	1.17	344540	148441	2.321	23.211	198.46	10.3		4325271.000	
33	33	08122019_Mitragynine_Oral_13point5_LLOQ5	QC	2:C,5	1.000	1.16	1881	147325	0.013	0.128	1.09	8.5		23902.000	
34	34	08122019_Mitragynine_Oral_13point5_LQC5	QC	2:C,6	3.000	1.17	4662	147976	0.032	0.315	2.69	-10.4		26231.983	
35	35	08122019_Mitragynine_Oral_13point5_MQC5	QC	2:C,7	90.000	1.17	136180	145903	0.933	9.334	79.80	-11.3		1722350.000	
36	36	08122019_Mitragynine_Oral_13point5_HQC5	QC	2:C,8	180.000	1.17	218507	149354	1.463	14.630	125.09	-30.5		2760509.000	
37	37	08122019_Mitragynine_Oral_13point5_LLOQ6	QC	2:C,9	1.000	1.17	1834	148063	0.012	0.124	1.05	5.3		23202.000	
38	38	08122019_Mitragynine_Oral_13point5_LQC6	QC	2:C,10	3.000	1.16	5695	146511	0.039	0.389	3.32	10.6		70859.000	
39	39	08122019_Mitragynine_Oral_13point5_MQC6	QC	2:C,11	90.000	1.17	171718	145251	1.182	11.822	101.08	12.3		465935.399	
40	40	08122019_Mitragynine_Oral_13point5_HQC6	QC	2:C,12	180.000	1.17	392443	155349	2.526	25.262	216.00	20.0		5109961.000	
41	41	08122019_Mitragynine_Oral_13point5_R8647_PreDose	Analyte	2:D,1		1.16	2	164488	0.000	0.000				41.000	
42	42	08122019_Mitragynine_Oral_13point5_R8647_5Min_5X	Analyte	2:D,2		1.15	36	156093	0.000	0.002	0.01			260.000	
43	43	08122019_Mitragynine_Oral_13point5_R8647_10Min_5X	Analyte	2:D,3		1.16	684	148831	0.005	0.046	0.39			8798.000	
44	44	08122019_Mitragynine_Oral_13point5_R8647_15Min_5X	Analyte	2:D,4		1.17	367	148131	0.002	0.025	0.21			4267.000	
45	45	08122019_Mitragynine_Oral_13point5_R8647_30Min_5X	Analyte	2:D,5		1.17	749	148312	0.005	0.050	0.43			2111.291	
46	46	08122019_Mitragynine_Oral_13point5_R8647_45Min_5X	Analyte	2:D,6		1.16	898	151529	0.006	0.059	0.50			11676.000	
47	47	08122019_Mitragynine_Oral_13point5_R8647_60Min_5X	Analyte	2:D,7		1.16	925	150203	0.006	0.062	0.52			3206.520	
48	48	08122019_Mitragynine_Oral_13point5_R8647_2hr_5X	Analyte	2:D,8		1.16	1141	148873	0.008	0.077	0.65			14717.000	
49	49	08122019_Mitragynine_Oral_13point5_R8647_4hr_5X	Analyte	2:D,9		1.16	758	147581	0.005	0.051	0.43			909.560	
50	50	08122019_Mitragynine_Oral_13point5_R8647_6hr	Analyte	2:D,10		1.16	2082	148183	0.014	0.141	1.20			27902.000	
51	51	08122019_Mitragynine_Oral_13point5_R8647_8hr	Analyte	2:D,11		1.16	1389	147632	0.009	0.094	0.80			18933.000	
52	52	08122019_Mitragynine_Oral_13point5_R8647_12hr	Analyte	2:D,12		1.16	516	153795	0.003	0.034	0.28			7097.000	
53	53	08122019_Mitragynine_Oral_13point5_R8647_24hr	Analyte	2:E,1		1.17	96	166605	0.001	0.006	0.04			249.621	
54	54	08122019_Mitragynine_Oral_13point5_R8648_PreDose	Analyte	2:E,2		1.09	1	156588	0.000	0.000				40.000	
55	55	08122019_Mitragynine_Oral_13point5_R8648_5Min_5X	Analyte	2:E,3		1.17	137	152640	0.001	0.009	0.07			1401.000	
56	56	08122019_Mitragynine_Oral_13point5_R8648_10Min_5X	Analyte	2:E,4		1.16	181	153996	0.001	0.012	0.09			2423.000	
57	57	08122019_Mitragynine_Oral_13point5_R8648_15Min_5X	Analyte	2:E,5		1.16	360	149944	0.002	0.024	0.20			4288.000	
58	58	08122019_Mitragynine_Oral_13point5_R8648_30Min_5X	Analyte	2:E,6		1.17	822	147695	0.006	0.056	0.47			10102.000	
59	59	08122019_Mitragynine_Oral_13point5_R8648_45Min_5X	Analyte	2:E,7		1.16	818	144111	0.006	0.057	0.48			10725.000	
60	60	08122019_Mitragynine_Oral_13point5_R8648_60Min_5X	Analyte	2:E,8		1.16	687	146306	0.005	0.047	0.40			8375.000	
61	61	08122019_Mitragynine_Oral_13point5_R8648_2hr_5X	Analyte	2:E,9		1.16	491	144629	0.003	0.034	0.28			6327.000	
62	62	08122019_Mitragynine_Oral_13point5_R8648_4hr_5X	Analyte	2:E,10		1.16	141	145645	0.001	0.010	0.08			334.069	
63	63	08122019_Mitragynine_Oral_13point5_R8648_6hr	Analyte	2:E,11		1.17	320	147046	0.002	0.022	0.18			829.981	
64	64	08122019_Mitragynine_Oral_13point5_R8648_8hr	Analyte	2:E,12		1.16	263	154007	0.002	0.017	0.14			3726.000	
65	65	08122019_Mitragynine_Oral_13point5_R8648_12hr	Analyte	2:F,1		1.16	193	158821	0.001	0.012	0.10			2580.000	
66	66	08122019_Mitragynine_Oral_13point5_R8648_24hr	Analyte	2:F,2		1.16	5276	149836	0.035	0.352	3.00			73195.000	
67	67	08122019_Mitragynine_Oral_13point5_R8650_PreDose	Analyte	2:F,3		1.17	18	149957	0.000	0.001	0.00			32.235	
68	68	08122019_Mitragynine_Oral_13point5_R8650_5Min_5X	Analyte	2:F,4		1.17	228	150407	0.002	0.015	0.12			2880.000	
69	69	08122019_Mitragynine_Oral_13point5_R8650_10Min_5X	Analyte	2:F,5		1.16	976	146793	0.007	0.066	0.56			12848.000	
70	70	08122019_Mitragynine_Oral_13point5_R8650_15Min_5X	Analyte	2:F,6		1.17	1602	146655	0.011	0.109	0.93			20191.000	
71	71	08122019_Mitragynine_Oral_13point5_R8650_30Min_5X	Analyte	2:F,7		1.17	2409	145008	0.017	0.166	1.41			30645.000	
72	72	08122019_Mitragynine_Oral_13point5_R8650_45Min_5X	Analyte	2:F,8		1.17	2154	146524	0.015	0.147	1.25			27763.000	
73	73	08122019_Mitragynine_Oral_13point5_R8650_60Min_5X	Analyte	2:F,9		1.16	1691	142466	0.012	0.119	1.01			21612.000	
74	74	08122019_Mitragynine_Oral_13point5_R8650_2hr_5X	Analyte	2:F,10		1.17	1343	145107	0.009	0.093	0.78			17315.000	
75	75	08122019_Mitragynine_Oral_13point5_R8650_4hr_5X	Analyte	2:F,11		1.16	1086	155036	0.007	0.070	0.59			13843.000	
76	76	08122019_Mitragynine_Oral_13point5_R8650_6hr	Analyte	2:F,12		1.16	8646	154110	0.056	0.561	4.79			116252.000	
77	77	08122019_Mitragynine_Oral_13point5_R8650_8hr	Analyte	2:G,1		1.17	2933	159629	0.018	0.184	1.56			39674.000	
78	78	08122019_Mitragynine_Oral_13point5_R8650_12hr	Analyte	2:G,2		1.17	944	153289	0.006	0.062	0.52			12708.000	
79	79	08122019_Mitragynine_Oral_13point5_R8650_24hr	Analyte	2:G,3		1.17	131	149124	0.001	0.009	0.07			1938.000	
80	80	08122019_Mitragynine_Oral_13point5_R8649_PreDose	Analyte	2:G,4		1.15	17	146438	0.000	0.001	0.00			169.000	
81	81	08122019_Mitragynine_Oral_13point5_R8649_5Min_5X	Analyte	2:G,5		1.17	135	150482	0.001	0.009	0.07			1466.000	
82	82	08122019_Mitragynine_Oral_13point5_R8649_10Min_5X	Analyte	2:G,6		1.17	133	148879	0.001	0.009	0.07			1380.000	
83	83	08122019_Mitragynine_Oral_13point5_R8649_15Min_5X	Analyte	2:G,7		1.17	199	148247	0.001	0.013	0.11			820.707	
84	84	08122019_Mitragynine_Oral_13point5_R8649_30Min_5X	Analyte	2:G,8		1.16	728	148114	0.005	0.049	0.41			9385.000	
85	85	08122019_Mitragynine_Oral_13point5_R8649_45Min_5X	Analyte	2:G,9		1.17	718	147427	0.005	0.049	0.41			9195.000	
86	86	08122019_Mitragynine_Oral_13point5_R8649_60Min_5X	Analyte	2:G,10		1.17	1029	148686	0.007	0.069	0.59			13409.000	
87	87	08122019_Mitragynine_Oral_13point5_R8649_2hr_5X	Analyte	2:G,11		1.17	729	155597	0.005	0.047	0.39			9348.000	
88	88	08122019_Mitragynine_Oral_13point5_R8649_4hr_5X	Analyte	2:G,12		1.17	352	159214	0.002	0.022	0.18			1619.278	
89	89	08122019_Mitragynine_Oral_13point5_R8649_6hr	Analyte	2:H,1		1.17	2258	160042	0.014	0.141	1.20			14294.468	
90	90	08122019_Mitragynine_Oral_13point5_R8649_8hr	Analyte	2:H,2		1.17	2906	158281	0.018	0.184	1.56			39953.000	
91	91	08122019_Mitragynine_Oral_13point5_R8649_12hr	Analyte	2:H,3		1.17	789	156005	0.005	0.051	0.43			10480.000	
92	92	08122019_Mitragynine_Oral_13point5_R8649_24hr	Analyte	2:H,4		1.17	696	156094	0.004	0.045	0.38			9776.000	

Compound 3:  IS_VRPML

	#	Name	Type	Vial	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	%Dev	Subject Text	S/N	Summary Flag Reason
1	1	08122019_Mitragynine_Oral_13point5_CS0x		2:H,9	10.000										
1	1	08122019_Mitragynine_Oral_13point5_CS0		2:H,9	10.000										
2	2	08122019_Mitragynine_Oral_13point5_CS0_IS		2:H,10	10.000	3.13	159479			159478.703	9.88	-1.2		2644900.000	
3	3	08122019_Mitragynine_Oral_13point5_CS1	Standard	2:A,1	10.000	3.13	170667			170666.672	10.57	5.7		2891547.000	
4	4	08122019_Mitragynine_Oral_13point5_CS2	Standard	2:A,2	10.000	3.13	159251			159251.203	9.87	-1.3		2681815.000	
