Quantify Compound Summary Report 

Printed Wed Jan 29 15:23:46 2025

Compound 1:  MITRAGYNINE

	#	Name	Type	Vial	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	%Dev	Subject Text	S/N	Summary Flag Reason
1	1	08122019_Mitragynine_Oral_13point5_CS0x		2:H,9		2.48	51							371.000	
1	1	08122019_Mitragynine_Oral_13point5_CS0		2:H,9		2.48	51							371.000	
2	2	08122019_Mitragynine_Oral_13point5_CS0_IS		2:H,10		2.49	92	159479	0.001	0.006				588.000	
3	3	08122019_Mitragynine_Oral_13point5_CS1	Standard	2:A,1	1.000	2.48	7119	170667	0.042	0.417	1.01	0.5		115819.000	
4	4	08122019_Mitragynine_Oral_13point5_CS2	Standard	2:A,2	2.500	2.48	11465	159251	0.072	0.720	1.92	-23.3		181784.000	
5	5	08122019_Mitragynine_Oral_13point5_CS3	Standard	2:A,3	5.000	2.48	26719	158363	0.169	1.687	4.83	-3.4		425841.000	
6	6	08122019_Mitragynine_Oral_13point5_CS4	Standard	2:A,4	20.000	2.48	87998	165536	0.532	5.316	15.75	-21.2		1414336.000	
7	7	08122019_Mitragynine_Oral_13point5_CS5	Standard	2:A,5	50.000	2.48	290359	158054	1.837	18.371	55.06	10.1		4642140.000	
8	8	08122019_Mitragynine_Oral_13point5_CS6	Standard	2:A,6	100.000	2.48	562619	162424	3.464	34.639	104.04	4.0		8975249.000	
9	9	08122019_Mitragynine_Oral_13point5_CS7	Standard	2:A,7	150.000	2.48	681085	159296	4.276	42.756	128.48	-14.3		10870756.000	
10	10	08122019_Mitragynine_Oral_13point5_CS8	Standard	2:A,8	200.000	2.48	1081647	157756	6.856	68.564	206.18	3.1		17196584.000	
11	11	08122019_Mitragynine_Oral_13point5_CS0_ISAfter		2:H,10		2.48	177	160024	0.001	0.011				1532.000	
12	12	08122019_Mitragynine_Oral_13point5_CS0_After		2:H,9		2.50	52	163	0.321	3.212	9.42			474.000	
13	13	08122019_Mitragynine_Oral_13point5_LLOQ1	QC	2:A,9	1.000	2.49	6631	159104	0.042	0.417	1.00	0.4		16584.873	
14	14	08122019_Mitragynine_Oral_13point5_LQC1	QC	2:A,10	3.000	2.48	12695	160122	0.079	0.793	2.14	-28.8		202166.000	
15	15	08122019_Mitragynine_Oral_13point5_MQC1	QC	2:A,11	90.000	2.48	480600	157004	3.061	30.611	91.91	2.1		7677832.000	
16	16	08122019_Mitragynine_Oral_13point5_HQC1	QC	2:A,12	180.000	2.49	779219	162136	4.806	48.059	144.44	-19.8		690048.301	
17	17	08122019_Mitragynine_Oral_13point5_LLOQ2	QC	2:B,1	1.000	2.48	6505	164793	0.039	0.395	0.94	-6.2		102637.000	
