index,filename,type,subject_id,time_min,dilution
1,08122019_Mitragynine_Oral_13point5_CS0x,Standard,,,1X
1,08122019_Mitragynine_Oral_13point5_CS0,Standard,,,1X
2,08122019_Mitragynine_Oral_13point5_CS0_IS,Standard,,,1X
3,08122019_Mitragynine_Oral_13point5_CS1,Standard,,,1X
4,08122019_Mitragynine_Oral_13point5_CS2,Standard,,,1X
5,08122019_Mitragynine_Oral_13point5_CS3,Standard,,,1X
6,08122019_Mitragynine_Oral_13point5_CS4,Standard,,,1X
7,08122019_Mitragynine_Oral_13point5_CS5,Standard,,,1X
8,08122019_Mitragynine_Oral_13point5_CS6,Standard,,,1X
9,08122019_Mitragynine_Oral_13point5_CS7,Standard,,,1X
10,08122019_Mitragynine_Oral_13point5_CS8,Standard,,,1X
11,08122019_Mitragynine_Oral_13point5_CS0_ISAfter,Standard,,,1X
12,08122019_Mitragynine_Oral_13point5_CS0_After,Standard,,,1X
13,08122019_Mitragynine_Oral_13point5_LLOQ1,QC,,,1X
14,08122019_Mitragynine_Oral_13point5_LQC1,QC,,,1X
15,08122019_Mitragynine_Oral_13point5_MQC1,QC,,,1X
16,08122019_Mitragynine_Oral_13point5_HQC1,QC,,,1X
17,08122019_Mitragynine_Oral_13point5_LLOQ2,QC,,,1X
18,08122019_Mitragynine_Oral_13point5_LQC2,QC,,,1X
19,08122019_Mitragynine_Oral_13point5_MQC2,QC,,,1X
20,08122019_Mitragynine_Oral_13point5_HQC2,QC,,,1X
21,08122019_Mitragynine_Oral_13point5_LLOQ3,QC,,,1X
22,08122019_Mitragynine_Oral_13point5_LQC3,QC,,,1X
23,08122019_Mitragynine_Oral_13point5_MQC3,QC,,,1X
24,08122019_Mitragynine_Oral_13point5_HQC3,QC,,,1X
25,08122019_Mitragynine_Oral_13point5_LLOQ4,QC,,,1X
26,08122019_Mitragynine_Oral_13point5_LQC4,QC,,,1X
27,08122019_Mitragynine_Oral_13point5_MQC4,QC,,,1X
28,08122019_Mitragynine_Oral_13point5_HQC4,QC,,,1X
29,08122019_Mitragynine_Oral_13point5_LLOQ4a,QC,,,1X
30,08122019_Mitragynine_Oral_13point5_LQC4a,QC,,,1X
31,08122019_Mitragynine_Oral_13point5_MQC4a,QC,,,1X
32,08122019_Mitragynine_Oral_13point5_HQC4a,QC,,,1X
33,08122019_Mitragynine_Oral_13point5_LLOQ5,QC,,,1X
34,08122019_Mitragynine_Oral_13point5_LQC5,QC,,,1X
35,08122019_Mitragynine_Oral_13point5_MQC5,QC,,,1X
36,08122019_Mitragynine_Oral_13point5_HQC5,QC,,,1X
37,08122019_Mitragynine_Oral_13point5_LLOQ6,QC,,,1X
38,08122019_Mitragynine_Oral_13point5_LQC6,QC,,,1X
39,08122019_Mitragynine_Oral_13point5_MQC6,QC,,,1X
40,08122019_Mitragynine_Oral_13point5_HQC6,QC,,,1X
41,08122019_Mitragynine_Oral_13point5_R8647_PreDose,analyte,R8647,-1,1X
42,08122019_Mitragynine_Oral_13point5_R8647_5Min_5X,analyte,R8647,5,5X
43,08122019_Mitragynine_Oral_13point5_R8647_10Min_5X,analyte,R8647,10,5X
44,08122019_Mitragynine_Oral_13point5_R8647_15Min_5X,analyte,R8647,15,5X
45,08122019_Mitragynine_Oral_13point5_R8647_30Min_5X,analyte,R8647,30,5X
46,08122019_Mitragynine_Oral_13point5_R8647_45Min_5X,analyte,R8647,45,5X
