index,filename,type,subject_id,time_min,dilution
47,08122019_Mitragynine_Oral_13point5_R8647_60Min_5X,analyte,R8647,60,5X
48,08122019_Mitragynine_Oral_13point5_R8647_2hr_5X,analyte,R8647,120,5X
49,08122019_Mitragynine_Oral_13point5_R8647_4hr_5X,analyte,R8647,240,5X
50,08122019_Mitragynine_Oral_13point5_R8647_6hr,analyte,R8647,360,1X
51,08122019_Mitragynine_Oral_13point5_R8647_8hr,analyte,R8647,480,1X
52,08122019_Mitragynine_Oral_13point5_R8647_12hr,analyte,R8647,720,1X
53,08122019_Mitragynine_Oral_13point5_R8647_24hr,analyte,R8647,1440,1X
54,08122019_Mitragynine_Oral_13point5_R8648_PreDose,analyte,R8648,-1,1X
55,08122019_Mitragynine_Oral_13point5_R8648_5Min_5X,analyte,R8648,5,5X
56,08122019_Mitragynine_Oral_13point5_R8648_10Min_5X,analyte,R8648,10,5X
57,08122019_Mitragynine_Oral_13point5_R8648_15Min_5X,analyte,R8648,15,5X
58,08122019_Mitragynine_Oral_13point5_R8648_30Min_5X,analyte,R8648,30,5X
59,08122019_Mitragynine_Oral_13point5_R8648_45Min_5X,analyte,R8648,45,5X
60,08122019_Mitragynine_Oral_13point5_R8648_60Min_5X,analyte,R8648,60,5X
61,08122019_Mitragynine_Oral_13point5_R8648_2hr_5X,analyte,R8648,120,5X
62,08122019_Mitragynine_Oral_13point5_R8648_4hr_5X,analyte,R8648,240,5X
63,08122019_Mitragynine_Oral_13point5_R8648_6hr,analyte,R8648,360,1X
64,08122019_Mitragynine_Oral_13point5_R8648_8hr,analyte,R8648,480,1X
65,08122019_Mitragynine_Oral_13point5_R8648_12hr,analyte,R8648,720,1X
66,08122019_Mitragynine_Oral_13point5_R8648_24hr,analyte,R8648,1440,1X
67,08122019_Mitragynine_Oral_13point5_R8650_PreDose,analyte,R8650,-1,1X
68,08122019_Mitragynine_Oral_13point5_R8650_5Min_5X,analyte,R8650,5,5X
69,08122019_Mitragynine_Oral_13point5_R8650_10Min_5X,analyte,R8650,10,5X
70,08122019_Mitragynine_Oral_13point5_R8650_15Min_5X,analyte,R8650,15,5X
71,08122019_Mitragynine_Oral_13point5_R8650_30Min_5X,analyte,R8650,30,5X
72,08122019_Mitragynine_Oral_13point5_R8650_45Min_5X,analyte,R8650,45,5X
73,08122019_Mitragynine_Oral_13point5_R8650_60Min_5X,analyte,R8650,60,5X
74,08122019_Mitragynine_Oral_13point5_R8650_2hr_5X,analyte,R8650,120,5X
75,08122019_Mitragynine_Oral_13point5_R8650_4hr_5X,analyte,R8650,240,5X
76,08122019_Mitragynine_Oral_13point5_R8650_6hr,analyte,R8650,360,1X
77,08122019_Mitragynine_Oral_13point5_R8650_8hr,analyte,R8650,480,1X
78,08122019_Mitragynine_Oral_13point5_R8650_12hr,analyte,R8650,720,1X
79,08122019_Mitragynine_Oral_13point5_R8650_24hr,analyte,R8650,1440,1X
80,08122019_Mitragynine_Oral_13point5_R8649_PreDose,analyte,R8649,-1,1X
81,08122019_Mitragynine_Oral_13point5_R8649_5Min_5X,analyte,R8649,5,5X
82,08122019_Mitragynine_Oral_13point5_R8649_10Min_5X,analyte,R8649,10,5X
83,08122019_Mitragynine_Oral_13point5_R8649_15Min_5X,analyte,R8649,15,5X
84,08122019_Mitragynine_Oral_13point5_R8649_30Min_5X,analyte,R8649,30,5X
85,08122019_Mitragynine_Oral_13point5_R8649_45Min_5X,analyte,R8649,45,5X
86,08122019_Mitragynine_Oral_13point5_R8649_60Min_5X,analyte,R8649,60,5X
87,08122019_Mitragynine_Oral_13point5_R8649_2hr_5X,analyte,R8649,120,5X
88,08122019_Mitragynine_Oral_13point5_R8649_4hr_5X,analyte,R8649,240,5X
89,08122019_Mitragynine_Oral_13point5_R8649_6hr,analyte,R8649,360,1X
90,08122019_Mitragynine_Oral_13point5_R8649_8hr,analyte,R8649,480,1X
91,08122019_Mitragynine_Oral_13point5_R8649_12hr,analyte,R8649,720,1X
92,08122019_Mitragynine_Oral_13point5_R8649_24hr,analyte,R8649,1440,1X
