TYPE,conc,stdconc
LLOQ,0.232,0.2
LLOQ,0.206,0.2
LLOQ,0.203,0.2
LLOQ,0.202,0.2
LLOQ,0.207,0.2
LLOQ,0.212,0.2
LQC,0.611,0.6
LQC,0.618,0.6
LQC,0.637,0.6
LQC,0.62,0.6
LQC,0.572,0.6
LQC,0.621,0.6
GMQC,8.09,8
GMQC,7.99,8
GMQC,7.96,8
GMQC,7.93,8
GMQC,8.05,8
GMQC,8.07,8
MQC,102,100
MQC,103,100
MQC,100,100
MQC,97,100
MQC,101,100
MQC,100,100
HQC,157,160
HQC,157,160
HQC,160,160
HQC,157,160
HQC,156,160
HQC,157,160
DilQC,9480,10000
DilQC,9315,10000
DilQC,9073,10000
DilQC,9410,10000
DilQC,9284,10000
DilQC,9446,10000
